Language,Emoji&hashtag,Train/test,Model,Model_Specification,TF-IDF,Balance,Average_accuracy_30IT,Std_deviation
Spanish,All,80/20,SVM,"RBF kernel, standard C",No,Yes,74.90608228980322,0.8022927259514469
Spanish,All,80/20,SVM,"RBF kernel, standard C",No,No,74.93013159679826,0.9087919528997673
Spanish,All,80/20,SVM,"RBF kernel, large C",Yes,Yes,74.84496124031008,0.9775518023230036
Spanish,All,80/20,SVM,"RBF kernel, large C",Yes,No,75.36019536019536,0.7335046203382202
Spanish,All,80/20,SVM,"RBF kernel, large C",No,Yes,74.1308884913536,0.704263074296057
Spanish,All,80/20,SVM,"RBF kernel, large C",No,No,74.7442680776014,0.8571189417423507
Spanish,All,80/20,LR,"Liblinear solver, small C",Yes,Yes,72.48956469886703,1.1059882473842617
Spanish,All,80/20,LR,"Liblinear solver, small C",Yes,No,69.89553656220323,0.7423085803628349
Spanish,All,80/20,LR,"Liblinear solver, small C",No,Yes,74.06231365533691,1.004879711160038
Spanish,All,80/20,LR,"Liblinear solver, small C",No,No,74.47700447700447,0.8616132951474718
Spanish,All,80/20,LR,"Liblinear solver, standard C",Yes,Yes,74.54084675014907,0.8264785646457152
Spanish,All,80/20,LR,"Liblinear solver, standard C",Yes,No,74.9084249084249,0.9238318781960285
Spanish,All,80/20,LR,"Liblinear solver, standard C",No,Yes,74.12641621943948,0.8061846989658819
Spanish,All,80/20,LR,"Liblinear solver, standard C",No,No,74.40645773979108,0.7043036182122764
Spanish,All,80/20,LR,"Liblinear solver, large C",Yes,Yes,73.60763267740012,0.9324137429141746
Spanish,All,80/20,LR,"Liblinear solver, large C",Yes,No,73.9384072717406,0.6196787927339025
Spanish,All,80/20,LR,"Liblinear solver, large C",No,Yes,72.40310077519379,0.6723230527875496
Spanish,All,80/20,LR,"Liblinear solver, large C",No,No,72.76217609550943,0.9048992899292816
Spanish,All,80/20,LR,"Lbfgs solver, small C",Yes,Yes,72.68634466308885,0.9053324498803839
Spanish,All,80/20,LR,"Lbfgs solver, small C",Yes,No,69.86161986161986,0.8947467765093226
